Country Name,Country Code,numIndicators
Syrian Arab Republic,SYR,1227
Tajikistan,TJK,1293
Tanzania,TZA,1344
Thailand,THA,1316
Timor-Leste,TMP,940
Togo,TGO,1282
Tonga,TON,1051
Trinidad and Tobago,TTO,1038
Tunisia,TUN,1309
Turkey,TUR,1331
Turkmenistan,TKM,854
Turks and Caicos Islands,TCA,253
Tuvalu,TUV,482
Uganda,UGA,1324
Ukraine,UKR,1313
United Arab Emirates,ARE,853
United Kingdom,GBR,912
United States,USA,914
Upper middle income,UMC,1008
Uruguay,URY,1110
Uzbekistan,UZB,1015
Vanuatu,VUT,1115
"Venezuela, RB",VEN,1096
Vietnam,VNM,1260
Virgin Islands (U.S.),VIR,187
West Bank and Gaza,WBG,852
World,WLD,805
"Yemen, Rep.",YEM,1203
Zambia,ZMB,1312
Zimbabwe,ZWE,1272
